danceability	band	value
0.88	wam_murcia_spotipy	0,002385212
0.91	al_rumbo_spotipy	0,008643976
0.91	arenal_spotipy	0,002198406
0.91	bbk_spotipy	0,002042206
0.91	cruilla_spotipy	0,007803535
0.91	download_spotipy	0
0.91	dreambeach_spotipy	0,001712748
0.91	fib_spotipy	0,001542813
0.91	low_spotipy	0
0.91	madcool_spotipy	0,002996867
0.91	ps_spotipy	0,001531713
0.91	ressurrection_fest_spotipy	0,000410467
0.91	rock_fest_bcn_spotipy	0,000325450
0.91	sonar_spotipy	0,005526083
0.91	vida_spotipy	0,001917546
0.91	wam_murcia_spotipy	0,000894454
0.94	al_rumbo_spotipy	0,001080497
0.94	arenal_spotipy	0,000274801
0.94	bbk_spotipy	0,001021103
0.94	cruilla_spotipy	0,003672252
0.94	download_spotipy	0
0.94	dreambeach_spotipy	0,000489356
0.94	fib_spotipy	0,001028542
0.94	low_spotipy	0
0.94	madcool_spotipy	0,003541752
0.94	ps_spotipy	0,001113973
0.94	ressurrection_fest_spotipy	0
0.94	rock_fest_bcn_spotipy	0
0.94	sonar_spotipy	0,001768347
0.94	vida_spotipy	0,002396932
0.94	wam_murcia_spotipy	0,000298151
0.96	al_rumbo_spotipy	0
0.96	arenal_spotipy	0,000274801
0.96	bbk_spotipy	0,000340368
0.96	cruilla_spotipy	0,001377094
0.96	download_spotipy	0
0.96	dreambeach_spotipy	0,000734035
0.96	fib_spotipy	0
0.96	low_spotipy	0
0.96	madcool_spotipy	0,001362212
0.96	ps_spotipy	0,000278493
0.96	ressurrection_fest_spotipy	0
0.96	rock_fest_bcn_spotipy	0
0.96	sonar_spotipy	0,001768347
0.96	vida_spotipy	0,001438159
0.96	wam_murcia_spotipy	0
0.99	al_rumbo_spotipy	0
0.99	arenal_spotipy	0
0.99	bbk_spotipy	0
0.99	cruilla_spotipy	0
0.99	download_spotipy	0
0.99	dreambeach_spotipy	0
0.99	fib_spotipy	0
0.99	low_spotipy	0
0.99	madcool_spotipy	0
0.99	ps_spotipy	6,962333774e-05
0.99	ressurrection_fest_spotipy	0
0.99	rock_fest_bcn_spotipy	0
0.99	sonar_spotipy	0
0.99	vida_spotipy	0
0.99	wam_murcia_spotipy	0
